transaction_id,order_date,customer_currency,original_amount,payment_processor
TXN-2024-000001,2024-10-26,BRL,919.19,MercadoPago
TXN-2024-000002,2024-11-19,BRL,819.68,PayU
TXN-2024-000003,2024-12-18,MXN,3024.35,PayU
TXN-2024-000004,2024-10-28,COP,270800.97,PayU
TXN-2024-000005,2024-12-07,MXN,3451.41,StripeConnect
TXN-2024-000006,2024-10-01,BRL,666.55,MercadoPago
TXN-2024-000007,2024-10-26,IDR,1855976.47,Flutterwave
TXN-2024-000008,2024-10-21,COP,1133887.05,Xendit
TXN-2024-000009,2024-12-24,COP,305233.25,StripeConnect
TXN-2024-000010,2024-11-24,MXN,3233.67,StripeConnect
TXN-2024-000011,2024-12-06,BRL,637.73,Flutterwave
TXN-2024-000012,2024-12-09,BRL,635.9,PayU
TXN-2024-000013,2024-10-17,COP,1120903.42,PayU
TXN-2024-000014,2024-11-22,IDR,460664.15,StripeConnect
TXN-2024-000015,2024-10-27,BRL,1326.62,MercadoPago
TXN-2024-000016,2024-10-16,COP,1293905.84,MercadoPago
TXN-2024-000017,2024-10-07,MXN,1819.69,MercadoPago
TXN-2024-000018,2024-11-17,BRL,824.83,StripeConnect
TXN-2024-000019,2024-11-21,KES,11676.91,MercadoPago
TXN-2024-000020,2024-11-09,KES,2033.36,PayU
TXN-2024-000021,2024-11-26,BRL,1139.68,StripeConnect
TXN-2024-000022,2024-11-07,MXN,4554.59,Flutterwave
TXN-2024-000023,2024-11-02,COP,674836.8,MercadoPago
TXN-2024-000024,2024-12-26,BRL,1033.61,Flutterwave
TXN-2024-000025,2024-11-13,MXN,4459.91,MercadoPago
TXN-2024-000026,2024-10-25,COP,1342426.99,PayU
TXN-2024-000027,2024-12-30,KES,3852.93,Flutterwave
TXN-2024-000028,2024-12-04,MXN,2752.39,StripeConnect
TXN-2024-000029,2024-11-26,IDR,2805965.63,MercadoPago
TXN-2024-000030,2024-12-07,IDR,1915332.43,PayU
TXN-2024-000031,2024-10-03,MXN,4997.79,PayU
