transaction_id,settlement_date,usd_amount_received,fx_rate_applied,fees_deducted
TXN-2024-009611,2024-12-05,135.4305,5.0415,3.8316
TXN-2024-015222,2024-11-25,191.0809,3968.4774,6.0158
TXN-2024-022291,2024-11-12,106.3777,15449.807,3.7232
TXN-2024-013239,2024-11-30,341.434,4024.0187,10.5063
TXN-2024-008881,2024-10-18,200.5357,17.5892,6.0854
TXN-2024-008290,2024-11-09,115.831,15401.0848,3.329
TXN-2024-012456,2024-12-26,5.9846,15548.9019,0.5124
TXN-2024-000432,2024-11-24,206.0114,17.2596,6.4617
TXN-2024-001039,2024-10-28,119.5982,15627.559,4.1603
TXN-2024-011619,2024-12-06,30.6501,15339.4349,1.2385
TXN-2024-006635,2024-12-26,66.1882,17.329,2.3755
TXN-2024-024419,2024-11-30,27.8416,5.0289,1.127
TXN-2024-005063,2024-10-29,268.9183,17.5145,8.3405
TXN-2024-017049,2024-12-26,22.5207,15593.6556,0.9785
TXN-2024-014537,2024-11-08,146.62,4.9698,4.6879
TXN-2024-017072,2024-11-19,94.4962,4.9894,3.2811
TXN-2024-020679,2024-11-10,39.2515,17.6283,1.4393
TXN-2024-007690,2024-12-13,299.1679,4059.7811,9.8289
TXN-2024-004920,2024-10-23,25.9495,128.7782,1.0644
TXN-2024-008619,2024-11-10,238.2736,17.4958,6.4686
TXN-2024-003622,2024-10-31,272.3334,17.5653,7.3419
TXN-2024-007488,2024-12-05,13.4221,4007.1659,0.7098
TXN-2024-024122,2024-12-08,102.9614,128.649,3.2746
TXN-2024-024592,2024-12-30,340.2608,3947.7043,11.4549
TXN-2024-001509,2024-11-03,114.3481,4.933,3.7241
TXN-2024-014357,2024-12-11,323.865,4039.3055,10.619
TXN-2024-014627,2024-10-08,263.5025,4007.9228,7.8992
TXN-2024-005437,2024-11-03,85.2657,17.2664,2.5453
TXN-2024-011766,2024-12-31,277.4016,17.2695,8.5939
TXN-2024-020191,2024-11-25,34.9492,131.302,1.3528
TXN-2024-000900,2024-12-09,33.9335,17.6311,1.3224
TXN-2024-014985,2024-10-24,64.0364,3942.0531,2.3066
TXN-2024-024466,2024-11-03,110.1238,4058.0041,3.7811
TXN-2024-021312,2024-10-27,214.8825,17.649,6.7267
TXN-2024-001168,2024-10-25,266.0433,17.7488,7.9724
